modelo,anoModelo,mesReferencia,anoReferencia,valor
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,12,2008,114228.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,1,2009,113095.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,6,2008,107862.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,1,2009,118740.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,3,2008,113859.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,4,2009,104934.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,9,2006,88120.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,6,2008,106420.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,5,2008,105724.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,1,2009,108050.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,4,2008,100874.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2007,2,2010,74153.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2,2010,106255.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,5,2009,114803.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2007,7,2009,78350.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,5,2006,84833.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,5,2009,112036.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,1,2010,107150.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2,2010,115161.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,12,2009,112249.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,10,2008,109688.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,8,2009,111363.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,3,2009,106348.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2,2009,107010.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,12,2009,106855.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,11,2008,112137.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,4,2008,114050.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,12,2008,112051.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,6,2008,117394.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,9,2009,108770.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,9,2005,83755.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2,2007,102562.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,11,2008,101875.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,3,2008,111665.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,10,2008,117407.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,8,2008,108216.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,8,2008,104699.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,1,2010,115399.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2,2009,108659.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,7,2007,109850.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,7,2009,113083.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,7,2009,110727.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2,2009,118590.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,11,2009,109402.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,5,2009,108253.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,7,2008,107812.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,6,2007,106550.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,11,2009,111106.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,10,2008,108200.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,12,2008,119145.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,8,2009,118959.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,8,2009,107857.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,1,2010,115228.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,4,2009,109502.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,6,2009,115732.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,1,2006,84166.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,4,2008,102938.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,6,2009,112766.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,7,2008,106735.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,1,2009,119974.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2,2008,105500.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,6,2008,106536.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2007,9,2009,77930.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,5,2008,104071.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2,2010,108602.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,8,2007,107240.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,10,2006,88844.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,9,2009,117834.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,12,2008,112138.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2,2010,111949.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,4,2006,83003.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,8,2008,115333.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,5,2009,111421.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,3,2009,109815.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,7,2009,117490.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,4,2008,111325.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,6,2009,107625.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2,2009,111024.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,5,2007,105439.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,9,2009,107696.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,10,2008,117533.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2,2009,116373.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,9,2008,107945.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2,2010,114990.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,9,2008,116638.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,3,2006,83844.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,6,2008,108724.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,8,2008,116824.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,5,2009,108779.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,11,2009,107074.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,10,2007,105137.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,10,2009,108179.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,8,2006,87802.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,3,2008,104131.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,10,2005,83767.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,3,2009,117018.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,12,2009,107929.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,12,2009,118321.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,6,2008,115281.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,5,2009,96155.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,1,2009,111998.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,9,2008,107339.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,12,2007,105333.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,10,2009,114438.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,4,2008,105208.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,11,2009,113272.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2,2009,117647.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,8,2008,106258.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,7,2008,115266.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,1,2010,110957.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,8,2009,106510.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,11,2008,108450.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,12,2005,84167.0
MARRUÁ AM 150 2.8  CS TDI Diesel,2022,10,2009,112109.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,10,2009,119729.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,12,2008,118121.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,6,2009,118262.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,11,2007,105666.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2007,11,2009,76489.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,3,2008,105142.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,4,2008,105365.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,5,2008,114763.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,11,2008,119210.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,11,2008,118120.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2,2009,101725.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,5,2009,117706.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,7,2008,107986.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,12,2009,116816.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,7,2008,104055.0
MARRUÁ AM 200 2.8  CD TDI Diesel,2022,7,2008,115938.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,12,2006,101875.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,12,2008,101783.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,3,2009,101460.0
MARRUÁ AM 100 2.8  CS TDI Diesel,2022,1,2010,107850.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2,2006,84000.0
MARRUÁ AM 150 2.8 CD TDI Diesel,2022,4,2008,112706.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,5,2008,112350.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2,2010,106020.0
MARRUÁ AM 100 2.8 CD TDI Diesel,2022,10,2008,116689.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,1,2007,101845.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,11,2009,111184.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,7,2006,86649.0
MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2,2010,109020.0
MARRUÁ 2.8 12V 132cv TDI Diesel,2022,11,2005,83097.0
MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,12,2008,108815.0
156 TS/Sport/Elegant 2.0 16V,2002,3,2011,29759.0
145 Elegant 2.0 16V,1998,4,2010,16717.0
164 Super V6 24V,1996,5,2012,17715.0
155,1997,7,2003,18450.0
155,1997,12,2010,15923.0
145 Quadrifoglio 2.0,1999,7,2018,14225.0
156 2.5 V6 24V 190cv 4p Aut.,2003,3,2008,76974.0
155,1997,6,2005,17839.0
Spider 2.0/3.0,1997,8,2009,45581.0
145 Elegant 1.7/1.8 16V,1999,7,2019,13109.0
164 Super V6 24V,1996,4,2012,17932.0
145 QV,1998,1,2008,20345.0
145 QV,1998,9,2015,14588.0
145 Elegant 1.7/1.8 16V,1999,3,2013,15814.0
145 Elegant 2.0 16V,1998,3,2020,12868.0
166 3.0 V6 24V,2003,3,2020,45420.0
145 Elegant 2.0 16V,1998,5,2019,13239.0
155 Super,1997,7,2009,17375.0
156 2.5 V6 24V 190cv 4p Aut.,2003,8,2020,48856.0
145 Quadrifoglio 2.0,1999,10,2019,14197.0
Spider 2.0/3.0,1997,2,2009,49981.0
166 3.0 V6 24V,2003,4,2008,92592.0
